Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
3275,658,674,0,0,200,-136,-151,-150,-8,3,227,57,58,0
6610,658,674,0,0,200,-134,-151,-150,-10,2,223,57,58,0
9944,658,674,0,0,202,-139,-154,-150,-11,3,224,57,58,0
13278,658,674,0,0,202,-139,-151,-150,-10,3,227,57,58,0
16632,658,674,0,0,200,-137,-149,-150,-10,4,224,57,58,0
19947,658,674,0,0,201,-136,-148,-150,-9,3,224,57,58,0
23281,658,674,0,0,201,-139,-149,-150,-13,0,228,57,58,0
26635,658,674,0,0,200,-134,-151,-150,-9,1,225,56,58,0
29950,658,674,0,0,199,-134,-150,-150,-9,1,228,57,58,0
33284,658,674,0,0,199,-134,-151,-150,-10,3,225,57,58,0
36636,658,674,0,0,201,-135,-149,-150,-13,0,226,56,58,0
39953,658,674,0,0,202,-137,-151,-150,-11,2,226,57,58,0
43287,658,674,0,0,201,-138,-151,-150,-12,4,222,57,58,0
46636,658,674,0,0,201,-137,-150,-150,-10,1,223,57,58,0
49956,658,674,0,0,203,-137,-150,-150,-11,4,225,57,58,0
53291,658,674,0,0,202,-137,-150,-150,-12,3,226,57,58,0
56636,658,674,0,0,202,-139,-152,-151,-12,2,223,57,58,0
59959,658,674,0,0,201,-136,-150,-150,-10,2,221,57,58,0
63294,658,674,0,0,199,-137,-151,-150,-12,0,226,57,58,0
66636,658,674,0,0,200,-136,-152,-150,-13,2,225,56,58,0
69963,658,674,0,0,199,-136,-152,-150,-11,1,226,57,58,0
73297,658,674,0,0,198,-136,-152,-150,-9,4,223,56,58,0
76636,658,674,0,0,200,-137,-151,-150,-13,0,223,57,58,0
79967,658,674,0,0,197,-137,-151,-150,-9,3,224,57,58,0
83300,658,674,0,0,199,-136,-153,-150,-9,3,224,57,58,0
86637,658,674,0,0,195,-134,-152,-150,-14,5,223,57,58,0
89969,658,674,0,0,196,-135,-152,-150,-11,1,226,57,58,0
93304,658,674,0,0,200,-136,-153,-150,-11,3,225,57,58,0
96658,658,674,0,0,200,-137,-154,-151,-10,2,222,57,58,0
99972,658,674,0,0,199,-137,-151,-151,-8,1,218,57,58,0
103307,0,0,0,0,200,-136,-152,-151,-10,3,227,57,57,0
106661,0,0,0,0,199,-138,-153,-151,-8,-1,223,57,58,0
109976,0,0,0,0,199,-136,-153,-151,-10,1,220,57,58,0
113310,0,0,0,0,199,-136,-152,-151,-9,-1,223,57,58,0
116661,0,0,0,0,203,-136,-151,-151,-9,2,228,57,57,0
119979,0,0,0,0,202,-133,-150,-151,-15,2,224,57,58,0
123314,0,0,0,0,202,-138,-148,-151,-13,1,227,57,58,0
126662,0,0,0,0,204,-139,-147,-151,-13,2,226,57,58,0
129982,0,0,0,0,199,-137,-148,-151,-11,1,225,57,58,0
133316,0,0,0,0,203,-136,-149,-150,-13,2,224,57,58,0
136662,0,0,0,0,201,-135,-150,-150,-13,3,229,57,58,0
139985,0,0,0,0,202,-137,-148,-150,-11,3,223,57,58,0
143319,0,0,0,0,202,-135,-151,-150,-10,2,227,57,58,0
146662,0,0,0,0,198,-136,-150,-150,-8,1,230,57,58,0
149988,0,0,0,0,201,-136,-149,-150,-10,1,219,57,58,0
153323,0,0,0,0,201,-137,-149,-150,-11,4,225,57,58,0
156663,0,0,0,0,200,-136,-150,-150,-11,1,231,57,58,0
159991,0,0,0,0,199,-137,-153,-150,-11,3,229,57,58,0
163326,0,0,0,0,197,-134,-151,-150,-12,1,223,57,58,0
166662,0,0,0,0,197,-137,-151,-150,-8,3,225,57,58,0
169995,0,0,0,0,201,-136,-152,-150,-11,2,225,57,58,0
173350,0,0,0,0,200,-138,-152,-150,-13,4,219,57,58,0
176684,0,0,0,0,202,-137,-152,-150,-11,4,224,57,57,0
179998,0,0,0,0,199,-139,-154,-151,-10,0,225,57,58,0
183353,0,0,0,0,199,-136,-154,-151,-14,2,224,57,58,0
186687,0,0,0,0,198,-136,-155,-151,-8,2,223,57,58,0
190001,0,0,0,0,200,-136,-152,-151,-11,1,225,57,58,0
193356,0,0,0,0,197,-137,-150,-151,-12,3,224,57,58,0
196688,0,0,0,0,200,-135,-149,-151,-12,2,223,57,58,0
200005,0,0,0,0,199,-133,-150,-150,-13,6,222,57,58,0
203363,0,0,2656,2656,200,-136,-152,-150,-9,0,227,0,0,0
206691,0,0,50,181,199,-142,-144,-150,-36,35,213,139,132,0
210007,1,1,68,331,-101,-381,-85,-148,-76,0,245,138,124,0
213366,1,1,368,687,-395,-604,-76,-146,-17,8,271,138,121,0
216691,1,1,575,893,-561,-885,216,-134,-97,36,270,143,126,0
220011,2,1,0,743,-988,-1179,330,-119,-119,47,226,159,134,0
223369,2,2,481,706,-1258,-1285,503,-99,-51,82,271,148,136,0
226691,2,2,631,1043,-1350,-1211,749,-71,-32,155,320,156,134,0
230014,3,2,0,743,-1129,-1002,880,-38,-24,199,299,176,150,0
233372,3,3,518,612,-697,-494,926,-5,-73,210,227,162,157,0
236692,4,3,256,743,-178,523,946,28,-202,159,218,176,166,0
240017,4,4,743,912,-529,1173,996,64,-185,20,311,166,157,0
243374,5,4,237,931,-1062,870,1163,105,-136,-21,338,177,156,0
246691,5,5,781,818,-1517,159,1424,154,177,65,302,164,162,0
250020,6,5,556,762,-673,-484,1436,204,305,90,239,176,181,0
253379,6,6,687,162,1376,-175,1575,258,162,5,80,173,201,0
256692,7,6,106,87,2699,60,1794,318,-46,23,154,188,205,0
260023,7,7,668,406,2672,-450,1766,378,-128,71,124,174,188,0
263379,8,7,350,631,2135,-801,1804,439,-3,145,166,191,192,0
266713,8,8,612,293,2381,-299,2128,511,61,65,193,177,194,0
270026,9,9,256,612,2991,-293,2166,583,87,21,219,196,193,0
273383,9,9,762,425,3036,-717,2099,653,90,157,147,185,203,0
276717,10,10,312,256,3277,-683,2018,721,52,80,93,193,196,0
280030,10,10,856,162,3647,-259,2111,792,-86,96,55,180,217,0
283383,11,11,387,293,2769,71,2053,861,-199,17,65,205,210,0
286717,12,12,125,162,1355,286,1807,922,-79,95,66,203,201,0
