Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
1532,1473,1501,0,0,20,42,264,263,-14,0,226,14,14,0
4852,1473,1501,0,0,16,42,265,263,-17,-1,228,14,14,0
8208,1473,1501,0,0,15,44,263,263,-18,1,227,14,14,0
11532,1473,1501,0,0,15,43,264,263,-17,-1,221,13,14,0
14856,1473,1501,0,0,16,43,263,263,-16,-3,225,14,14,0
18211,1473,1501,0,0,14,43,263,263,-15,-1,228,14,13,0
21533,1473,1501,0,0,15,43,262,263,-15,0,228,14,14,0
24860,1473,1501,0,0,16,44,262,263,-15,-3,226,14,14,0
28214,1473,1501,0,0,20,44,264,263,-16,-2,226,14,13,0
31533,1473,1501,0,0,19,44,263,263,-17,-2,235,14,14,0
34862,1473,1501,0,0,18,43,262,263,-17,1,228,14,14,0
38215,1473,1501,0,0,17,43,264,263,-16,0,233,14,14,0
41533,1473,1501,0,0,15,43,262,263,-17,-1,230,14,14,0
44865,1473,1501,0,0,14,42,263,263,-16,-4,228,14,13,0
48220,1473,1501,0,0,15,43,262,263,-15,-3,228,14,14,0
51554,1473,1501,0,0,14,43,261,262,-18,0,230,14,14,0
54868,1473,1501,0,0,16,41,263,263,-17,-1,229,14,13,0
58224,1473,1501,0,0,17,42,264,263,-17,-2,222,14,14,0
61558,1473,1501,0,0,18,42,265,263,-15,0,229,14,14,0
64871,1473,1501,0,0,17,41,265,263,-14,-7,228,14,14,0
68224,1473,1501,0,0,19,38,264,263,-16,-1,228,14,14,0
71558,1473,1501,0,0,15,40,264,263,-19,-3,228,14,14,0
74876,1473,1501,0,0,16,40,262,263,-14,-3,233,14,14,0
78224,1473,1501,0,0,14,41,265,263,-18,0,231,14,14,0
81559,1473,1501,0,0,14,44,261,263,-13,-1,230,13,14,0
84878,1473,1501,0,0,16,45,265,263,-14,0,231,14,14,0
88224,1473,1501,0,0,17,48,263,263,-13,-4,229,14,14,0
91558,1473,1501,0,0,18,46,263,263,-16,0,226,14,13,0
94881,1473,1501,0,0,19,47,267,263,-15,-1,225,14,14,0
98224,1473,1501,0,0,21,48,263,263,-17,0,230,13,13,0
101794,1473,1501,0,0,16,45,265,263,-18,-2,231,14,14,0
104885,0,0,2506,2506,19,44,264,263,-18,-1,236,13,13,0
108225,0,0,2487,2487,16,43,265,263,-16,-3,227,14,14,0
111559,0,0,2487,2487,16,40,263,263,-13,-1,225,14,14,0
114887,0,0,2487,2487,12,41,263,263,-20,-2,228,14,14,0
118225,0,0,2487,2487,13,41,262,263,-17,-1,229,14,14,0
121559,0,0,2506,2487,13,38,261,263,-13,0,230,13,14,0
124891,0,0,2487,2487,15,42,261,263,-15,0,233,14,14,0
128246,0,0,2487,2487,18,42,263,263,-17,1,226,14,14,0
131560,0,0,2487,2506,18,41,264,263,-18,-3,226,14,13,0
134894,0,0,2506,2506,19,42,263,263,-16,0,226,13,13,0
138250,0,0,2487,2487,19,45,264,263,-17,0,230,14,14,0
141582,0,0,2506,2487,19,41,263,263,-17,-1,229,13,14,0
144897,0,0,2487,2487,17,44,266,263,-19,-1,224,14,14,0
148249,0,0,2487,2487,14,45,264,263,-20,-2,226,14,14,0
151584,0,0,2487,2487,16,43,264,263,-17,-2,232,14,14,0
154900,0,0,2487,2487,16,45,264,263,-16,-1,227,14,14,0
