Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
3119,1290,1318,2918,0,-245,175,-119,-120,-18,-4,226,101,103,0
6474,1290,1318,2900,0,-244,176,-121,-120,-18,-2,231,102,103,0
9806,1290,1318,2900,0,-243,174,-118,-120,-20,-5,227,102,103,0
13122,1290,1318,2918,0,-246,175,-121,-120,-19,0,224,101,102,0
16477,1290,1318,2900,0,-244,178,-119,-120,-22,0,226,102,103,0
19809,1290,1318,2918,0,-244,179,-120,-120,-18,-5,230,101,102,0
23126,1290,1318,2918,0,-245,181,-122,-120,-20,-1,223,101,103,0
26480,1290,1318,2918,0,-245,179,-120,-120,-18,0,225,101,103,0
29810,1290,1318,2900,0,-243,180,-122,-120,-17,-3,225,102,103,0
33128,1290,1318,2918,0,-243,177,-121,-120,-19,-5,229,101,103,0
36484,1290,1318,2900,0,-243,183,-122,-120,-18,-3,232,102,102,0
39809,1290,1318,2918,0,-243,178,-121,-120,-16,-7,227,101,102,0
43131,1290,1318,2918,0,-243,177,-119,-120,-20,0,224,101,103,0
46487,1290,1318,2918,0,-244,177,-120,-120,-16,-6,227,101,103,0
49810,1290,1318,2918,0,-246,178,-119,-120,-17,0,231,101,102,0
53135,1290,1318,2900,0,-244,179,-121,-120,-16,-2,232,102,102,0
56490,1290,1318,2918,0,-244,178,-120,-120,-19,-5,230,101,102,0
59810,1290,1318,2918,0,-245,178,-121,-120,-18,-4,231,101,103,0
63138,1290,1318,2900,0,-244,179,-123,-120,-22,-3,227,102,103,0
66493,1290,1318,2900,0,-243,179,-120,-120,-19,-3,233,102,103,0
69810,1290,1318,2918,0,-244,181,-120,-120,-21,-1,226,101,103,0
73141,1290,1318,2900,0,-242,178,-120,-120,-16,-5,229,102,102,0
76493,1290,1318,2900,0,-244,180,-120,-120,-18,-3,226,102,103,0
79810,1290,1318,2918,0,-243,177,-120,-120,-17,-2,223,101,102,0
83145,1290,1318,2900,0,-242,176,-120,-120,-20,-3,233,102,103,0
86498,1290,1318,2900,0,-246,175,-121,-120,-20,-4,234,102,102,0
89835,1290,1318,2900,0,-246,170,-122,-120,-18,-2,231,102,103,0
93147,1290,1318,2918,0,-245,174,-120,-120,-15,-5,227,101,103,0
96501,1290,1318,2900,0,-244,175,-120,-120,-20,-5,227,102,102,0
99835,1290,1318,2900,0,-245,175,-117,-120,-20,-2,225,102,102,0
103151,0,0,0,0,-245,176,-119,-120,-18,-2,227,101,102,0
106501,0,0,0,0,-245,179,-121,-120,-18,-6,232,102,103,0
109836,0,0,0,0,-243,179,-119,-120,-18,0,229,102,103,0
113155,0,0,0,0,-245,181,-119,-120,-18,-5,228,102,103,0
116502,0,0,0,0,-244,178,-120,-120,-20,-2,228,102,102,0
119836,0,0,0,0,-244,180,-119,-120,-21,-6,228,102,102,0
123157,0,0,0,0,-243,180,-123,-120,-19,0,229,102,102,0
126502,0,0,0,0,-242,180,-119,-120,-21,-3,230,102,103,0
129836,0,0,0,0,-242,180,-119,-120,-19,-1,231,101,103,0
133160,0,0,0,0,-245,178,-120,-120,-18,-6,234,101,102,0
136502,0,0,0,0,-246,174,-121,-120,-19,-5,227,101,103,0
139837,0,0,0,0,-246,177,-120,-120,-19,-2,229,101,103,0
143164,0,0,0,0,-246,178,-120,-120,-17,-7,231,102,102,0
146503,0,0,0,0,-246,177,-120,-120,-20,-2,223,102,103,0
149837,0,0,0,0,-243,175,-118,-120,-18,-2,231,102,102,0
153168,0,0,0,0,-246,175,-121,-120,-19,-6,230,102,103,0
156503,0,0,0,0,-247,177,-120,-120,-20,0,224,102,103,0
159837,0,0,0,0,-244,177,-120,-120,-19,-5,229,102,102,0
163170,0,0,0,0,-243,173,-121,-120,-18,0,226,102,103,0
166524,0,0,0,0,-245,176,-122,-120,-20,-1,231,101,103,0
169858,0,0,0,0,-246,174,-121,-120,-17,0,228,101,103,0
173173,0,0,0,0,-244,177,-120,-120,-17,-3,227,101,103,0
176527,0,0,0,0,-244,178,-120,-120,-19,-1,231,101,103,0
179862,0,0,0,0,-243,178,-120,-120,-18,0,228,102,102,0
183176,0,0,0,0,-242,182,-121,-120,-16,-2,226,101,103,0
186528,0,0,0,0,-242,181,-120,-120,-21,-1,228,101,102,0
189862,0,0,0,0,-244,184,-120,-120,-19,-6,229,102,103,0
193180,0,0,0,0,-242,182,-119,-120,-22,-3,227,101,103,0
196528,0,0,0,0,-245,179,-121,-120,-19,-6,226,101,102,0
199862,0,0,0,0,-243,177,-120,-120,-20,-4,226,102,102,0
203183,0,0,3800,3800,-245,175,-122,-120,-18,-3,221,0,0,0
206531,0,0,1287,1493,-282,107,-119,-120,-90,-28,258,245,234,0
209865,1,1,856,1156,-695,5,-146,-120,-11,17,272,268,252,0
213187,1,2,968,500,-667,269,-26,-118,-9,16,172,278,287,0
216532,2,3,1325,481,-737,458,46,-112,13,-9,293,275,304,0
219866,3,3,743,668,-680,270,-122,-112,137,-14,313,306,310,0
223190,4,4,968,818,311,-329,-56,-110,-9,73,273,310,318,0
226559,5,5,706,443,671,-402,-135,-111,130,39,362,315,329,0
229866,5,6,1081,237,1615,-744,-128,-111,-216,108,314,311,340,0
233192,6,7,1362,387,1570,-816,-428,-121,-81,124,348,296,332,0
236532,7,8,1175,406,1378,-977,-842,-143,-222,161,324,306,331,0
239867,8,9,1287,875,1191,-1175,-1420,-184,-307,220,322,316,322,0
243195,9,10,1212,1062,-394,-1225,-1706,-234,-110,87,360,320,312,0
246553,10,11,968,1250,-1071,-1590,-1869,-288,-297,171,254,333,302,0
249889,11,11,1006,1943,-2340,-1727,-1873,-343,-140,9,327,347,297,0
253199,12,12,1400,2093,-3583,-2291,-1811,-396,-316,304,163,351,314,0
256557,13,13,1118,2112,-5162,-2363,-1635,-443,-38,31,243,382,329,0
259890,14,14,743,1962,-5710,-3174,-1196,-477,-106,173,163,402,337,0
263203,15,15,556,1793,-6281,-2958,-739,-496,-63,270,182,412,346,0
266556,17,16,631,1906,-6543,-3179,-522,-509,-9,218,168,408,356,0
269890,18,17,218,1718,-6472,-3233,-4,-505,15,198,-20,430,366,0
273206,19,19,668,1850,-6401,-3082,646,-481,-155,274,110,422,375,0
276585,20,20,668,1100,-6638,-2760,942,-448,178,50,189,423,400,0
279891,22,21,443,1025,-6292,-2113,1412,-400,-253,316,199,419,404,0
283209,23,22,762,1381,-6154,-1229,1762,-341,337,286,272,402,385,0
286558,24,23,800,1475,-4264,-483,2024,-274,418,333,-4,416,396,0
289891,26,25,818,987,-1869,982,2763,-184,325,358,220,399,406,0
293212,27,26,1043,481,1807,1798,3218,-80,812,13,259,387,433,0
296558,28,27,1587,537,5195,2083,3453,31,348,157,31,374,446,0
299891,29,29,1475,368,6823,2448,3455,143,183,115,151,380,439,0
303215,30,30,1362,706,8450,2250,3237,248,321,210,-13,401,436,0
306558,31,32,1662,687,9867,2687,2723,336,112,-15,-31,401,437,0
309891,33,33,1306,800,10988,2998,1198,378,-89,64,162,404,431,0
313218,34,35,1212,1156,11591,3002,672,402,-235,49,-182,425,428,0
316558,35,36,1062,650,11060,3282,152,412,-100,142,18,449,455,0
319891,37,37,987,987,8577,3045,374,424,-285,35,97,437,437,0
323222,38,39,912,500,5340,2192,412,436,-298,-70,187,441,447,0
326579,40,40,312,987,2313,1650,999,471,-394,214,-79,448,412,0
329892,41,41,556,575,-461,1296,1284,513,52,32,-12,435,434,0
333224,42,43,612,181,-1705,896,1569,566,-227,179,-16,432,439,0
336583,44,44,256,593,-2847,1397,2138,637,-805,160,-191,451,433,0
339916,45,46,800,612,-5107,2242,2476,727,555,-119,362,422,416,0
343228,46,47,856,612,-4213,2834,3344,858,-40,-192,207,419,416,0
346583,48,48,800,912,-4416,2069,3177,1002,-48,124,343,422,416,0
349919,49,50,1137,368,-2994,1090,2234,1125,476,140,422,404,429,0
353231,50,51,1737,331,-1046,1151,1863,1242,224,-158,589,397,456,0
356584,51,53,2168,706,-489,1882,1861,1358,-700,-260,620,390,436,0
359924,53,54,1643,1325,-3187,366,1130,1450,-63,-175,849,402,403,0
363234,54,55,1812,2093,-4148,-2066,249,1509,-480,83,706,409,378,0
366584,55,56,1756,2093,-5446,-3463,-126,1543,-130,450,749,428,394,0
369925,57,57,1456,1925,-5775,-4017,-773,1541,89,247,620,428,403,0
373237,58,59,856,1568,-4874,-4462,-1109,1523,-182,333,485,460,406,0
376583,60,60,387,1231,-4446,-3750,-1477,1477,-391,416,101,470,425,0
379925,61,61,181,1006,-4181,-1914,-2010,1394,45,254,233,481,437,0
383240,63,63,0,500,-4829,-875,-2168,1297,-180,99,148,491,448,0
386584,64,64,537,725,-6286,-266,-2085,1188,146,-72,-55,462,452,0
389926,66,66,106,537,-4143,174,-1946,1072,324,-89,46,469,446,0
393243,67,67,837,443,-1896,723,-1545,960,344,102,441,446,467,0
396585,68,69,518,143,-382,1950,-948,844,21,26,98,463,467,0
399957,70,70,1306,893,1607,3212,-1372,701,171,131,-35,436,458,0
403247,71,72,1137,518,3098,3438,-1781,537,468,-127,202,445,462,0
406585,73,73,1118,1062,4042,2826,-2070,365,475,-236,262,446,449,0
409926,74,75,1512,593,5178,2162,-2833,175,-170,30,166,425,458,0
413250,75,76,1737,256,6195,1674,-3113,-7,117,54,3,413,476,0
416606,77,78,912,443,7112,674,-3115,-141,-40,31,-83,457,466,0
