Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
2759,1027,1026,2768,3050,-246,177,-121,-119,-23,-6,227,95,96,0
6106,1027,1026,2768,3050,-246,177,-119,-119,-21,-1,229,95,96,0
9428,1027,1026,2787,3050,-244,178,-121,-119,-20,-5,227,94,96,0
12764,1027,1026,2768,3050,-244,177,-119,-119,-22,-5,227,95,96,0
16107,1027,1026,2768,3050,-245,175,-119,-119,-23,-2,227,95,96,0
19432,1027,1026,2768,3050,-243,178,-118,-119,-20,-4,229,95,96,0
22766,1027,1026,2768,3068,-245,176,-117,-119,-20,-3,229,95,95,0
26108,1027,1026,2768,3050,-244,177,-118,-119,-20,-5,225,95,96,0
29435,1027,1026,2768,3050,-241,176,-118,-119,-24,-5,231,95,96,0
32769,1027,1026,2768,3050,-241,174,-117,-118,-23,-5,228,95,96,0
36108,1027,1026,2768,3068,-246,174,-119,-118,-22,-2,225,95,95,0
39438,1027,1026,2768,3050,-246,176,-117,-118,-25,-3,230,95,96,0
42773,1027,1026,2768,3050,-243,175,-117,-118,-22,-3,225,95,96,0
46108,1027,1026,2768,3050,-246,176,-118,-118,-17,-5,223,95,96,0
49441,1027,1026,2768,3050,-245,177,-119,-118,-26,-2,227,95,96,0
52775,1027,1026,2768,3050,-244,179,-120,-118,-23,-10,222,95,96,0
56129,1027,1026,2787,3050,-243,180,-121,-118,-26,-1,228,94,96,0
59445,1027,1026,2768,3050,-244,179,-121,-118,-20,-4,224,95,96,0
62779,1027,1026,2768,3050,-243,179,-121,-118,-20,-5,227,95,96,0
66133,1027,1026,2787,3050,-244,181,-120,-119,-22,-5,227,94,96,0
69448,1027,1026,2768,3068,-246,177,-123,-119,-27,-5,224,95,95,0
72782,1027,1026,2768,3050,-246,176,-120,-119,-23,-8,230,95,96,0
76133,1027,1026,2768,3050,-246,175,-118,-119,-21,-7,223,95,96,0
79451,1027,1026,2768,3050,-247,177,-119,-119,-22,-4,227,95,96,0
82785,1027,1026,2768,3050,-246,176,-118,-119,-20,-5,226,95,96,0
86133,1027,1026,2768,3050,-248,175,-117,-119,-21,-5,230,95,96,0
89454,1027,1026,2768,3050,-245,176,-116,-119,-24,-6,231,95,96,0
92788,1027,1026,2768,3068,-245,174,-117,-119,-21,-6,227,95,95,0
96134,1027,1026,2768,3050,-246,173,-117,-119,-23,-4,225,95,96,0
99457,1027,1026,2768,3068,-246,174,-118,-119,-21,-5,227,95,95,0
102791,1027,1026,2768,3068,-245,173,-119,-118,-23,-6,226,95,95,0
106134,0,0,668,650,-244,172,-120,-118,-23,-5,235,95,96,0
109461,0,0,668,650,-244,180,-120,-118,-20,-2,226,95,96,0
112795,0,0,668,650,-245,176,-121,-118,-25,-3,232,95,96,0
116134,0,0,668,650,-245,177,-122,-118,-21,-6,231,95,96,0
119463,0,0,668,650,-242,181,-123,-119,-22,-5,226,95,96,0
122798,0,0,687,668,-246,179,-119,-119,-21,-5,225,94,95,0
126134,0,0,687,650,-246,178,-122,-119,-25,-2,230,94,96,0
129468,0,0,668,668,-245,175,-120,-119,-20,-7,227,95,95,0
132801,0,0,668,650,-246,177,-119,-119,-21,-5,221,95,96,0
136155,0,0,668,668,-246,175,-119,-119,-23,-5,233,95,95,0
139470,0,0,668,650,-248,176,-121,-119,-23,-5,225,95,96,0
142804,0,0,668,650,-245,174,-118,-119,-20,-6,229,95,96,0
146159,0,0,668,650,-245,175,-116,-119,-22,-2,228,95,96,0
149473,0,0,668,650,-243,177,-116,-119,-24,-3,229,95,96,0
152808,0,0,668,650,-245,180,-119,-119,-22,-9,227,95,96,0
156159,0,0,668,650,-243,181,-118,-119,-23,-2,232,95,96,0
159476,0,0,668,650,-240,177,-118,-119,-22,-6,226,95,96,0
162811,0,0,668,650,-243,177,-118,-119,-23,-4,229,95,96,0
166159,0,0,687,650,-241,180,-119,-119,-21,-5,224,94,96,0
169479,0,0,668,650,-243,176,-120,-119,-25,-4,229,95,96,0
172814,0,0,668,650,-245,176,-120,-119,-18,-10,229,95,96,0
176160,0,0,668,668,-244,176,-121,-119,-22,-2,234,95,95,0
179483,0,0,668,668,-247,174,-117,-118,-23,-3,226,95,95,0
182817,0,0,687,668,-246,173,-119,-118,-24,-1,226,94,95,0
186160,0,0,668,650,-249,175,-121,-119,-26,-7,224,95,96,0
189486,0,0,668,650,-246,173,-116,-118,-24,-2,227,95,96,0
192821,0,0,668,650,-246,175,-119,-119,-23,-7,227,95,96,0
196160,0,0,668,668,-246,175,-121,-119,-24,-6,224,95,95,0
199490,0,0,668,650,-249,176,-121,-119,-21,-8,221,95,96,0
203061,0,0,668,650,-246,178,-121,-119,-21,-7,230,95,96,0
206164,0,1,500,0,-246,172,-124,-119,-36,-73,243,216,240,0
209492,0,1,725,818,-438,93,-121,-119,-77,-48,247,220,199,0
212827,1,1,462,781,-763,246,-12,-116,35,13,250,234,217,0
216184,1,2,893,425,-640,158,-120,-116,8,-12,234,227,236,0
219495,2,3,612,406,-306,98,-87,-115,46,59,248,242,237,0
222854,2,3,1250,725,91,107,-81,-113,108,-13,257,240,252,0
226188,3,4,968,612,1001,-323,-125,-114,-89,17,286,255,258,0
