Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
1804,1159,1192,2862,0,-122,-76,242,240,-5,3,230,93,93,0
5137,1159,1192,2862,0,-121,-76,245,240,-2,3,230,93,93,0
8454,1159,1192,2862,0,-119,-75,240,240,-5,5,230,93,93,0
11804,1159,1192,2862,0,-120,-77,243,240,-7,1,233,93,93,0
15138,1159,1192,2862,0,-119,-77,241,240,-8,6,230,93,93,0
18457,1159,1192,2862,0,-123,-77,239,240,-2,3,227,93,93,0
21805,1159,1192,2862,0,-122,-74,239,240,-9,3,231,93,93,0
25139,1159,1192,2862,0,-123,-73,241,240,-3,3,230,93,93,0
28460,1159,1192,2862,0,-122,-76,240,240,-7,3,229,93,93,0
31804,1159,1192,2862,0,-123,-78,241,240,-1,2,231,93,93,0
35138,1159,1192,2862,0,-123,-76,242,240,-6,5,227,93,93,0
38463,1159,1192,2862,0,-122,-77,241,240,-8,2,231,93,93,0
41805,1159,1192,2862,0,-121,-77,241,240,-7,2,229,93,93,0
45138,1159,1192,2862,0,-123,-74,240,240,-5,8,228,93,93,0
48467,1159,1192,2862,0,-124,-76,242,240,-3,0,227,93,93,0
51805,1159,1192,2862,0,-123,-75,239,240,-4,2,227,93,93,0
55139,1159,1192,2862,0,-122,-75,238,240,-4,1,232,93,93,0
58469,1159,1192,2862,0,-123,-76,241,240,-8,5,233,93,93,0
61806,1159,1192,2862,0,-124,-76,239,240,-6,2,232,93,93,0
65139,1159,1192,2862,0,-121,-75,239,240,-3,0,223,93,93,0
68472,1159,1192,2862,0,-121,-77,244,240,-2,3,228,93,93,0
71827,1159,1192,2862,0,-118,-74,243,240,-5,3,226,93,93,0
75141,1159,1192,2862,0,-119,-77,243,240,-4,6,234,93,93,0
78476,1159,1192,2862,0,-119,-77,240,240,-2,3,229,93,93,0
81830,1159,1192,2862,0,-122,-77,242,240,-8,3,230,93,93,0
85163,1159,1192,2862,0,-122,-78,243,240,0,1,231,93,93,0
88479,1159,1192,2862,0,-120,-76,239,240,-4,2,230,93,93,0
91831,1159,1192,2862,0,-120,-76,239,240,-12,3,229,93,93,0
95167,1159,1192,2862,0,-121,-77,241,240,-9,7,233,93,93,0
98483,1159,1192,2862,0,-123,-76,240,240,-7,2,233,93,93,0
101831,1159,1192,2862,0,-122,-77,241,240,-6,3,227,93,93,0
105236,0,0,0,0,-123,-76,241,240,-7,3,231,93,93,0
108485,0,0,0,0,-122,-74,240,240,-3,1,227,93,93,0
111831,0,0,0,0,-123,-72,242,240,-9,4,235,94,93,0
115173,0,0,0,0,-124,-75,243,240,-6,3,231,94,93,0
118488,0,0,0,0,-123,-74,240,240,-6,4,232,93,93,0
121831,0,0,0,0,-120,-75,239,240,-2,4,230,93,93,0
125173,0,0,0,0,-124,-75,242,240,-4,1,227,93,93,0
128492,0,0,0,0,-121,-74,238,240,-3,0,227,93,93,0
131832,0,0,0,0,-123,-77,241,240,-5,6,232,93,93,0
135173,0,0,0,0,-121,-78,239,240,-3,3,229,93,93,0
138495,0,0,0,0,-120,-77,242,240,-3,3,228,93,93,0
141832,0,0,0,0,-119,-76,241,240,-7,5,231,93,93,0
145173,0,0,0,0,-120,-76,242,240,-3,2,234,93,93,0
148498,0,0,0,0,-120,-76,243,240,-4,2,232,93,93,0
151853,0,0,0,0,-122,-75,241,240,-4,4,229,93,93,0
155174,0,0,0,0,-119,-76,243,240,-6,0,231,93,93,0
158501,0,0,0,0,-122,-72,241,240,-7,1,230,93,93,0
161857,0,0,0,0,-123,-73,242,241,-8,5,238,93,93,0
165174,0,0,0,0,-123,-72,242,241,-6,0,229,94,93,0
168504,0,0,0,0,-121,-74,241,241,-3,2,226,93,93,0
171857,0,0,0,0,-123,-79,240,241,-5,2,227,93,93,0
175174,0,0,0,0,-120,-77,241,241,-7,3,228,93,93,0
178508,0,0,0,0,-123,-77,239,240,-2,3,228,93,93,0
181857,0,0,0,0,-123,-77,242,240,-5,3,226,93,93,0
185176,0,0,0,0,-120,-77,239,240,-5,3,225,93,93,0
188511,0,0,0,0,-123,-78,239,240,-7,6,227,93,93,0
191857,0,0,0,0,-121,-74,241,240,-8,4,233,93,93,0
195200,0,0,0,0,-123,-74,238,240,-1,5,228,93,93,0
198514,0,0,0,0,-122,-76,240,240,-5,4,231,93,93,0
201858,0,0,0,0,-122,-75,240,240,-4,2,226,93,93,0
205203,0,0,3537,3537,-123,-76,242,240,-23,28,262,93,93,0
208518,1,1,968,1456,-160,-192,287,242,-155,23,160,246,220,0
211861,1,1,1025,950,-984,-441,276,243,-152,-94,263,259,263,0
215203,2,2,612,1156,-1452,-682,307,245,-79,53,320,297,268,0
218520,3,3,443,1250,-1765,-1221,533,254,-221,-119,285,306,263,0
221861,4,3,631,2018,-2605,-1822,767,270,-124,89,369,312,254,0
225204,5,4,818,1700,-3372,-2265,1285,303,47,115,380,302,271,0
228524,6,5,1043,1437,-3120,-2396,1496,342,-29,157,479,297,276,0
231862,6,6,1325,1737,-2111,-2197,2390,409,-13,263,479,282,260,0
235203,7,6,1287,1606,-1362,-1680,2642,485,79,231,414,284,283,0
238527,8,7,1118,1531,-435,-1027,2518,556,164,214,483,293,287,0
241887,9,8,1006,1625,1712,-169,2250,619,-65,257,247,315,298,0
245204,10,9,875,1625,2434,-113,1990,673,53,171,360,322,298,0
248530,11,10,1175,1475,3388,-268,1555,714,-235,345,175,306,306,0
251886,12,11,1193,1493,3065,352,1768,762,-240,192,123,321,321,0
255204,13,12,1062,1737,2038,770,2242,824,-348,263,-27,353,333,0
258533,14,13,762,2056,534,1089,2561,897,286,72,190,385,348,0
261886,15,14,500,1400,2119,679,2466,966,44,323,93,399,367,0
265205,16,15,481,1287,2908,448,2712,1044,-238,270,52,416,389,0
268536,18,16,237,1475,3782,-32,2765,1122,348,-51,206,429,379,0
271887,19,18,668,987,4938,-293,2945,1207,247,33,45,406,405,0
275229,20,19,800,331,7264,-1041,3224,1300,-265,74,-95,399,440,0
278540,22,20,312,443,7883,-1907,3245,1394,-114,-3,-153,426,435,0
281887,23,22,237,537,6875,-2118,3156,1485,-380,39,-71,414,414,0
285232,24,23,143,1062,4793,-1690,2472,1555,-244,67,127,419,386,0
288543,26,24,218,1437,2535,-1231,1672,1600,-378,91,134,431,382,0
291887,27,25,331,1831,-763,-709,1188,1629,-732,264,-8,409,361,0
295233,28,27,687,1831,-3344,-251,1058,1655,-210,12,280,406,361,0
298546,29,28,631,2375,-5372,-343,328,1658,-310,-139,92,409,348,0
301918,31,29,1193,2281,-8143,-526,601,1669,-189,130,-236,394,368,0
305233,32,30,1081,1587,-9494,-1188,1115,1696,165,426,235,400,405,0
308549,33,31,1268,1025,-9657,-833,1989,1751,-8,597,7,390,435,0
311888,34,33,2075,837,-11168,1587,1520,1791,798,258,273,363,445,0
315234,35,34,2131,443,-9194,2140,1150,1818,379,336,445,360,466,0
318552,37,36,2337,612,-6518,2780,1221,1847,-296,580,427,365,457,0
321910,38,37,2168,706,-5449,3113,913,1866,745,-132,896,358,452,0
325233,39,39,2543,725,-2368,1049,891,1877,917,232,513,354,451,0
