Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
3301,388,420,0,0,-130,-79,245,244,4,1,226,39,39,0
6651,388,420,0,0,-126,-81,245,244,3,1,227,39,39,0
9970,388,420,0,0,-128,-81,246,245,5,0,225,40,39,0
13304,388,420,0,0,-129,-80,245,245,5,0,225,40,40,0
16652,388,420,0,0,-128,-79,247,245,4,-1,225,39,39,0
19973,388,420,0,0,-129,-80,248,245,7,4,228,40,39,0
23307,388,420,0,0,-127,-80,244,245,3,-2,227,40,40,0
26652,388,420,0,0,-128,-83,247,245,0,4,229,39,39,0
29976,388,420,0,0,-128,-81,246,245,2,0,224,39,39,0
33310,388,420,0,0,-126,-82,248,245,3,0,228,40,39,0
36652,388,420,0,0,-128,-80,246,245,2,1,226,40,39,0
39980,388,420,0,0,-128,-82,245,245,6,2,225,40,40,0
43313,388,420,0,0,-129,-80,246,245,5,-1,228,40,39,0
46652,388,420,0,0,-128,-83,244,245,4,0,231,40,40,0
53317,388,420,0,0,-127,-80,245,245,2,1,224,39,40,0
56652,388,420,0,0,-129,-80,245,245,0,3,228,39,39,0
59985,388,420,0,0,-129,-80,243,245,5,0,228,39,40,0
63341,388,420,0,0,-129,-78,245,245,2,2,229,40,39,0
66674,388,420,0,0,-127,-78,246,245,1,2,232,39,39,0
69989,388,420,0,0,-128,-78,243,245,2,1,228,39,39,0
73345,388,420,0,0,-128,-80,246,245,5,-2,223,39,39,0
76677,388,420,0,0,-127,-81,246,245,5,0,229,39,39,0
79992,388,420,0,0,-129,-82,244,245,2,3,226,39,39,0
83347,388,420,0,0,-130,-81,246,245,7,-1,222,39,40,0
86677,388,420,0,0,-130,-82,247,245,4,1,224,40,39,0
89995,388,420,0,0,-129,-81,249,245,3,1,226,39,39,0
93351,388,420,0,0,-128,-82,246,245,3,2,229,40,39,0
96678,388,420,0,0,-127,-80,247,245,4,2,231,39,39,0
99999,388,420,0,0,-128,-81,246,245,4,0,226,39,40,0
103353,0,0,0,0,-131,-81,245,245,2,3,228,40,39,0
106678,0,0,0,0,-131,-81,247,245,1,2,233,40,40,0
110001,0,0,0,0,-129,-79,248,245,2,2,226,40,40,0
113356,0,0,0,0,-129,-83,246,245,3,2,224,39,39,0
116679,0,0,0,0,-127,-80,246,245,4,0,232,39,40,0
120005,0,0,0,0,-127,-79,244,245,6,-1,221,39,40,0
123360,0,0,0,0,-127,-81,246,245,2,1,233,39,39,0
126679,0,0,0,0,-125,-80,243,245,3,3,227,39,39,0
130008,0,0,0,0,-126,-78,246,245,4,-2,226,40,39,0
133361,0,0,0,0,-127,-79,246,245,2,2,228,40,39,0
136679,0,0,0,0,-128,-77,242,245,3,-1,223,39,40,0
140011,0,0,0,0,-127,-80,244,245,7,0,225,39,39,0
143366,0,0,0,0,-127,-79,247,245,4,0,224,39,39,0
146700,0,0,0,0,-128,-80,244,245,2,1,228,40,40,0
150014,0,0,0,0,-127,-77,246,245,6,-2,223,40,39,0
153369,0,0,0,0,-128,-82,246,245,3,-2,221,39,40,0
156704,0,0,0,0,-129,-81,245,245,5,0,229,39,39,0
160017,0,0,0,0,-126,-80,248,245,3,1,230,39,39,0
163370,0,0,0,0,-126,-80,247,245,5,2,227,39,40,0
166704,0,0,0,0,-128,-83,248,245,6,0,231,40,39,0
170021,0,0,0,0,-126,-80,246,245,3,1,221,39,39,0
173370,0,0,0,0,-129,-82,245,245,2,2,224,39,40,0
176704,0,0,0,0,-129,-82,246,245,5,2,229,40,40,0
180025,0,0,0,0,-128,-81,244,245,1,4,227,40,40,0
183370,0,0,0,0,-129,-81,245,245,3,0,230,39,39,0
186705,0,0,0,0,-129,-83,242,245,6,-1,229,39,39,0
190027,0,0,0,0,-127,-80,246,245,4,0,230,39,39,0
193370,0,0,0,0,-129,-81,243,245,3,1,230,39,40,0
196705,0,0,0,0,-129,-81,247,245,3,0,231,39,39,0
200030,0,0,0,0,-128,-82,244,245,3,1,229,39,39,0
203374,0,0,1587,1587,-129,-82,246,245,5,1,226,0,0,0
206707,0,0,106,0,-136,-98,249,245,8,-8,205,79,86,0
210033,1,0,0,0,-202,-132,263,246,-29,18,229,93,85,0
213373,1,1,200,125,-277,39,260,246,31,9,219,74,78,0
216708,1,1,256,106,-111,74,317,248,10,0,220,71,79,0
220038,1,1,556,368,13,6,389,253,-5,14,225,71,81,0
223395,1,1,293,125,-31,23,448,259,48,21,231,85,94,0
226730,2,1,275,500,68,41,423,265,50,23,235,86,90,0
230040,2,2,312,31,343,61,432,270,27,31,253,84,99,0
233398,2,2,237,143,590,45,604,282,-21,58,239,88,93,0
236732,2,2,537,350,680,38,654,294,5,51,238,88,98,0
240043,2,2,350,200,640,66,646,307,-81,98,213,98,106,0
243399,3,3,256,162,335,323,518,316,-91,48,237,103,108,0
246733,3,3,293,125,-202,324,480,323,23,38,257,101,110,0
250047,3,3,650,387,-164,204,379,327,31,39,245,98,112,0
253399,3,4,368,50,94,190,205,326,-1,-14,220,113,114,0
256733,4,4,31,0,155,192,53,320,-25,-2,238,115,118,0
260050,4,4,687,275,13,142,-119,308,-35,-20,234,96,118,0
263399,4,5,406,0,-157,-55,-230,294,-21,-19,248,111,120,0
266733,5,5,350,293,-368,-228,-344,275,-16,-24,266,114,117,0
270053,5,5,275,162,-377,-507,-406,255,-43,-14,288,118,124,0
273400,5,6,800,181,-322,-946,-446,233,4,-12,285,106,123,0
276733,5,6,556,143,-133,-1146,-450,211,12,-9,280,119,125,0
280056,6,6,106,143,-104,-1293,-394,191,35,66,284,127,125,0
283399,6,7,818,162,-81,-1285,-446,170,-48,23,262,105,124,0
286734,6,7,556,256,-315,-1292,-398,150,13,18,286,127,127,0
290060,7,7,31,200,-500,-1266,-364,130,1,94,236,139,130,0
293400,7,8,575,50,-712,-1145,-281,114,54,53,253,110,122,0
296734,7,8,743,368,-679,-1021,-90,104,-51,9,206,117,121,0
300063,8,8,50,218,-1142,-909,-20,95,24,115,192,138,129,0
303400,8,9,800,387,-1533,-638,41,89,39,67,196,114,120,0
306755,9,9,293,275,-1255,-477,130,85,81,57,226,125,126,0
310065,9,9,143,256,-887,-475,214,84,-124,71,82,133,127,0
313424,9,10,781,293,-1336,-261,283,85,70,38,144,115,125,0
316758,10,10,87,200,-1140,164,515,93,-54,64,175,136,130,0
320069,10,11,293,87,-1298,532,705,107,-159,72,93,125,120,0
323425,10,11,500,443,-2061,802,791,122,67,63,193,130,117,0
326758,11,11,0,368,-1966,623,870,137,71,80,268,144,121,0
330072,11,11,593,762,-1592,401,1026,155,-53,104,205,125,116,0
333425,11,12,537,406,-1533,171,1296,182,-4,42,255,128,119,0
336758,12,12,68,443,-1474,-48,1455,214,2,69,200,137,117,0
340075,12,13,593,481,-1507,-230,1607,246,96,112,279,125,115,0
343425,13,13,0,406,-1181,-340,1583,275,75,117,285,143,119,0
346758,13,13,500,650,-1064,-199,1457,300,27,96,230,130,122,0
350079,13,14,518,481,-1300,-17,1263,323,74,82,319,129,131,0
353426,14,14,12,50,-947,253,1121,343,335,131,286,140,138,0
356759,14,14,518,500,357,780,1149,368,14,-59,192,129,130,0
360082,15,15,0,143,143,464,1291,401,-166,23,52,146,133,0
363426,15,15,125,443,-1048,284,1212,438,-105,63,41,150,133,0
366759,15,15,218,331,-1201,257,1169,478,77,-74,66,145,139,0
370086,16,16,181,425,-741,-6,1279,525,56,23,111,155,142,0
373426,16,16,200,256,-610,11,1106,570,64,23,127,154,151,0
376760,17,17,0,293,68,1,1296,624,82,-151,227,166,149,0
380088,17,17,162,181,274,-365,1304,678,9,-127,205,156,155,0
383426,18,18,0,50,188,-747,1139,728,132,-136,155,166,146,0
386760,18,18,181,256,449,-763,1391,784,257,-46,233,155,151,0
390091,19,19,0,12,1699,-539,1754,852,234,-132,358,164,148,0
393447,19,19,312,331,2704,-598,1623,916,164,-144,234,148,147,0
396784,20,20,31,87,2247,-1161,1656,979,35,-64,263,147,144,0
400094,20,20,200,0,1589,-1403,1387,1031,86,17,341,138,152,0
403451,20,21,481,0,1676,-783,1044,1066,40,62,366,139,152,0
406788,21,21,0,12,2164,-10,1200,1104,-123,-73,344,156,148,0
410098,21,21,481,312,1527,300,813,1129,71,-1,329,139,148,0
413451,22,22,0,0,1594,282,393,1137,146,23,260,152,149,0
416788,22,22,462,312,2912,730,421,1143,16,-40,274,140,148,0
420101,23,23,125,31,3261,710,162,1139,38,-102,317,142,147,0
423451,23,23,368,293,3438,-97,158,1128,-6,-108,281,145,149,0
426793,23,24,425,50,2885,-548,-86,1104,100,-19,207,142,146,0
430104,24,24,0,12,2775,-695,-214,1072,-62,-91,229,158,148,0
433452,24,25,350,162,2057,-628,-431,1032,19,26,255,146,140,0
436793,25,25,0,87,1939,-565,-506,984,63,-32,188,158,144,0
440107,25,25,406,312,2106,-556,-586,925,-25,-18,164,143,148,0
443452,26,26,0,12,1642,-484,-561,862,-34,-28,200,160,148,0
446794,26,26,350,331,1314,-526,-524,795,-13,-103,196,146,147,0
450110,27,27,368,143,1145,-692,-381,734,16,-70,180,145,141,0
453452,27,27,181,200,1116,-832,-357,677,20,-2,201,147,146,0
456794,27,28,387,50,1221,-701,-380,626,-10,24,175,136,138,0
460114,28,28,0,162,1280,-444,-497,575,-95,-26,195,143,132,0
463453,28,28,518,518,872,-310,-499,524,-101,-46,239,129,129,0
466794,29,29,68,256,493,-561,-493,468,-130,-68,270,137,127,0
470117,29,29,462,762,228,-962,-507,414,-87,-39,254,132,116,0
473474,29,29,556,668,-100,-1275,-497,362,-58,97,257,127,121,0
476794,30,30,0,406,-30,-991,-527,306,-77,116,244,141,119,0
480120,30,30,575,687,-399,-354,-738,248,-134,127,177,126,120,0
483477,30,31,368,218,-1632,195,-1163,171,-249,174,135,137,129,0
486795,31,31,143,818,-2981,421,-1481,84,-129,233,73,149,113,0
490123,31,31,293,743,-3774,1064,-1899,-10,-211,90,19,141,117,0
493478,32,31,0,668,-4358,1380,-2432,-129,-132,-136,-49,160,121,0
496795,32,32,68,518,-5801,454,-2138,-251,59,-7,-99,153,129,0
500126,33,32,0,331,-6514,-523,-1647,-353,279,35,113,151,139,0
503478,33,33,162,368,-4846,294,-1691,-458,190,116,38,148,137,0
506818,34,33,0,237,-4250,968,-1429,-546,186,227,176,142,144,0
510130,34,34,0,0,-3256,1708,-1360,-621,99,222,180,143,147,0
513479,34,34,425,218,-2749,2359,-827,-684,-15,200,186,134,145,0
516821,35,34,125,537,-2891,2533,-294,-719,94,83,341,134,128,0
