Time, Rlegs, Llegs, DCL, DCR, GyroX, GyroY, GyroZ, GyroZAvg, AccelX, AccelY, AccelZ, LBEMF, RBEMF, SteerOut
3229,254,259,781,0,-126,-81,246,246,-3,-4,225,31,31,0
6549,254,259,781,0,-127,-80,249,246,-2,-3,226,31,31,0
9895,254,259,781,0,-131,-79,249,246,-1,-7,229,31,31,0
13229,254,259,781,0,-129,-83,247,246,2,-5,229,31,31,0
16552,254,259,781,0,-128,-81,247,246,-3,-1,229,31,31,0
19895,254,259,781,0,-129,-81,244,246,0,-5,223,31,31,0
23230,254,259,781,0,-131,-82,244,246,1,-6,228,31,31,0
26555,254,259,781,0,-131,-82,248,246,0,-6,227,31,31,0
29895,254,259,781,0,-133,-82,244,246,0,-5,231,31,31,0
33230,254,259,781,0,-132,-81,246,246,0,-7,226,31,31,0
36558,254,259,781,0,-133,-82,248,246,0,-3,223,31,31,0
39896,254,259,781,0,-128,-84,247,246,0,-10,231,31,31,0
43230,254,259,781,0,-129,-80,249,246,-1,-6,221,31,31,0
46561,254,259,781,0,-130,-84,247,246,0,-7,222,31,31,0
49896,254,259,781,0,-128,-80,248,246,-2,-8,225,31,31,0
53230,254,259,781,0,-127,-81,245,246,-3,-7,229,31,31,0
56565,254,259,781,0,-127,-83,246,246,0,-8,228,31,31,0
59917,254,259,781,0,-129,-80,246,246,0,-10,226,31,31,0
63253,254,259,781,0,-129,-80,247,246,-4,-4,233,31,31,0
66568,254,259,781,0,-128,-80,245,246,-2,-6,231,31,31,0
69921,254,259,781,0,-130,-80,247,246,0,-5,225,31,31,0
73254,254,259,781,0,-127,-79,250,246,-1,-8,228,31,31,0
76571,254,259,781,0,-127,-82,247,246,-1,-6,230,31,31,0
79921,254,259,781,0,-131,-80,245,246,3,-8,226,31,31,0
83254,254,259,762,0,-129,-80,248,246,-6,-6,225,32,31,0
86574,254,259,781,0,-128,-81,248,246,0,-8,229,31,31,0
89921,254,259,781,0,-129,-83,245,246,-2,-7,227,31,31,0
93254,254,259,781,0,-129,-83,244,246,-1,-5,227,31,31,0
96577,254,259,781,0,-132,-84,245,246,-1,-12,226,31,31,0
99922,254,259,781,0,-133,-84,244,246,1,-8,223,31,31,0
